id	texto	etiqueta	pais
768512386269638656	@morbosaborealis jajajaja... eso es verdad... aquí no hay uno cuerdo 	N	es
768529956162924544	@Adriansoler espero y deseo que el interior te cause lo mismo 	NEU	es
768557093955698688	comprendo que te molen mis tattoos, pero no te los hagas 'iguales' 	NEU	es
770616744192929792	Mi última partida jugada, con Sona support. La grandes razones para jugar Sona https://t.co/2rgmMeAFIs	P	es
769959690092642304	Tranquilos que con el.dinero de Camacho seguro mañana empiezan las escabadoras en el Arraijanal 	P	es
770590136828559360	@daniacal aún no, pero si estará jugable en el TGS no creo que tarde demasiado. 	P	es
770434744748236800	@ragnomuelle Yo a veces hecho de menos mi pelo largo por eso mismo entre otras cosas 	N	es
770787189319925760	A mí nunca me podrán hacer una broma porque no cojo llamadas y menos cuando son ocultas 	NEU	es
771339035445002240	#feliz septiembre..es bonito retarse..es increible lo mucho que puedes aprender.. medirse con el obstáculo..eres la joyita de la corona	P	es
768577963885522944	Este año el Madrid hará triplete y si lo hace me rapo al cero  grabad el mensaje jejej #ChiringuitoPiqué	P	es
768596566378774528	Es conveniente tener un Gobierno democrático que cumpla su función politica. NO lo es tener un Gobierno que representa la #corrupciónPP	N	es
768588061496209408	@BrujadelTuiters . Estas palabras, del Poema, INSTANTES, son de Nadine Stair. Escritora norteamericana, a la q le gustan los helados.  	NEU	es
768071942096166912	"@Jordicanal64 Pues si no fichan ""lo que sea"" además de un ridículo espantoso igual QSF nos deja plantados...esperemos que no   "	N	es
768506208051494912	@Iluminaughty_ @Spiegel_Spike_ pues me da igual  yo escribo lo que pienso ^^ y cuando lo pienso ajajaj si es que lo pienso 	NEU	es
770377072103530496	@C3466003565 Cracias Cristina todo lo que me dices es una bendición tienes que ser paciente y veras como llega el milagro solo asi,ten Fe 	P	es
770295011250409472	@pandeliria @eltuitdrink Bien! Yo no se que tiene el mundo en contra de la tercera generación  Mi fav es la primera pero merece la pena.	P	es
770798433645031424	Yo mantendría que toby está vivo si no fuese por el tuit de keegs, por el insta de troian de hace unos días..... Esas cosas sabéis 	NEU	es
